Age,Accessibility,EdLevel,Employment,MentalHealth,MainBranch,YearsCode,PreviousSalary,ComputerSkills,Employed,Man,NonBinary,Woman,Asia,Australia,Europe,NorthAmerica,Others,South America
1,0,2,1,0,1,6,16704.0,22,0,1,0,0,0,0,1,0,0,0
1,0,2,1,0,1,23,81420.0,18,0,1,0,0,0,0,0,0,1,0
0,0,2,1,0,1,7,14280.0,5,0,1,0,0,0,0,0,0,1,0
1,0,3,1,0,1,20,84019.0,15,1,1,0,0,0,0,1,0,0,0
1,0,2,1,0,1,20,63648.0,20,1,1,0,0,0,0,0,0,1,0
0,0,2,1,0,1,5,4620.0,17,1,1,0,0,0,0,0,0,1,0
0,0,3,1,0,1,10,70000.0,15,0,1,0,0,0,0,0,1,0,0
0,0,1,1,0,1,12,91883.0,20,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,3,30192.0,7,0,1,0,0,0,0,0,0,1,0
0,0,2,1,1,1,10,90000.0,12,1,1,0,0,0,0,0,1,0,0
1,0,2,1,0,1,20,21600.0,20,1,1,0,0,0,0,0,0,0,1
0,0,2,1,0,1,15,50592.0,9,1,1,0,0,0,0,1,0,0,0
0,0,2,1,1,1,9,28536.0,14,0,1,0,0,0,0,1,0,0,0
1,0,3,1,0,0,4,96874.0,14,0,1,0,0,0,1,0,0,0,0
1,0,2,1,0,1,24,77556.0,15,1,1,0,0,0,0,1,0,0,0
1,0,2,0,0,1,21,103408.0,19,1,1,0,0,0,0,1,0,0,0
1,0,2,1,0,1,28,121979.0,7,0,1,0,0,0,0,1,0,0,0
0,0,4,1,1,1,15,75492.0,14,0,1,0,0,0,0,0,0,1,0
0,0,2,0,0,1,10,84316.0,29,1,1,0,0,0,0,1,0,0,0
1,0,2,1,0,1,31,43404.0,16,0,1,0,0,0,0,0,0,1,0
0,0,2,1,0,1,6,22584.0,14,1,1,0,0,0,0,0,0,0,1
0,0,2,1,0,1,14,103408.0,4,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,15,44320.0,20,1,1,0,0,0,0,1,0,0,0
1,0,2,1,1,1,30,165000.0,29,1,1,0,0,0,0,0,1,0,0
0,0,2,1,1,1,13,5268.0,13,1,1,0,0,1,0,0,0,0,0
0,0,1,1,1,1,10,51888.0,14,0,1,0,0,0,0,1,0,0,0
0,0,2,1,1,1,12,85500.0,16,0,1,0,0,0,0,0,0,1,0
0,0,2,0,0,1,7,48000.0,12,1,1,0,0,1,0,0,0,0,0
0,0,3,1,0,1,12,64859.0,6,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,6,42158.0,11,0,1,0,0,0,0,1,0,0,0
0,0,2,1,1,1,18,32424.0,2,0,0,1,0,0,0,1,0,0,0
0,0,2,1,0,0,2,60000.0,12,1,1,0,0,0,0,0,1,0,0
0,0,3,0,0,1,5,51888.0,7,0,1,0,0,0,0,1,0,0,0
1,0,4,1,0,0,16,35028.0,1,0,1,0,0,0,0,1,0,0,0
0,0,1,1,0,0,9,9084.0,10,1,1,0,0,0,0,1,0,0,0
1,0,4,1,0,1,13,74588.0,3,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,6,33732.0,11,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,13,27852.0,12,1,1,0,0,0,0,0,0,1,0
0,0,2,1,0,1,12,50153.0,11,0,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,15,30716.0,13,1,1,0,0,1,0,0,0,0,0
0,0,3,1,0,1,10,77831.0,25,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,7,81624.0,13,1,0,0,1,0,0,1,0,0,0
0,0,3,1,0,0,6,54049.0,5,0,1,0,0,0,0,1,0,0,0
0,1,2,1,1,1,10,10450.0,18,1,1,0,0,0,0,0,0,1,0
0,0,3,1,0,1,7,41077.0,15,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,10,45396.0,8,0,1,0,0,0,0,1,0,0,0
0,0,1,1,0,1,4,19389.0,10,1,1,0,0,0,0,1,0,0,0
1,0,3,1,0,1,24,77831.0,8,0,1,0,0,0,0,1,0,0,0
1,0,2,1,0,1,18,160000.0,6,0,1,0,0,0,0,0,1,0,0
1,0,2,0,0,1,37,185000.0,17,1,1,0,0,0,0,0,1,0,0
0,0,2,1,0,0,20,107972.0,7,0,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,9,66897.0,21,1,1,0,0,1,0,0,0,0,0
1,0,1,1,0,1,5,75000.0,17,1,1,0,0,0,0,0,0,0,1
0,0,1,1,1,1,8,48472.0,12,0,1,0,0,0,0,1,0,0,0
1,0,2,1,1,1,24,120000.0,13,1,1,0,0,0,0,0,1,0,0
0,0,1,1,0,1,12,8796.0,10,0,1,0,0,0,0,0,0,0,1
0,0,1,0,0,1,5,4272.0,17,1,1,0,0,0,0,0,0,1,0
0,0,2,1,0,1,9,28105.0,10,0,1,0,0,0,0,1,0,0,0
1,0,1,1,0,1,30,77832.0,10,0,1,0,0,0,0,1,0,0,0
0,0,4,1,0,0,10,51704.0,5,0,1,0,0,0,0,1,0,0,0
1,0,2,1,0,0,23,18000.0,9,0,1,0,0,0,0,0,0,1,0
1,0,1,0,0,1,20,43239.0,17,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,6,9231.0,6,0,1,0,0,0,0,0,0,1,0
1,0,2,1,0,1,25,70264.0,10,1,1,0,0,0,0,1,0,0,0
0,0,2,1,1,1,5,5388.0,18,1,1,0,0,0,0,0,0,1,0
0,0,3,1,0,1,22,115000.0,10,1,1,0,0,0,0,0,1,0,0
0,0,2,1,1,1,21,144000.0,22,1,0,0,1,0,0,0,1,0,0
0,0,3,1,0,1,14,65508.0,6,0,1,0,0,0,0,1,0,0,0
1,0,3,1,0,1,31,70264.0,5,0,1,0,0,0,0,1,0,0,0
1,0,0,1,0,1,22,105000.0,6,0,1,0,0,0,0,0,1,0,0
1,0,3,1,0,1,20,56211.0,13,1,1,0,0,0,0,1,0,0,0
0,0,3,1,0,0,10,64630.0,7,1,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,14,110000.0,6,0,1,0,0,0,0,0,1,0,0
0,0,2,0,0,1,14,64860.0,10,0,1,0,0,0,0,0,0,1,0
1,0,2,1,1,1,25,120000.0,21,1,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,7,6360.0,10,0,1,0,0,1,0,0,0,0,0
